k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
1,ALS_DIRECT,FM,199,0.9874478667268751,0.7533734327343147,0.5822701296847197,191,4462,15893,24881
1,ALS_DIRECT,GBT,199,0.9409020617069026,0.7264503801032397,0.5794601573254375,191,4462,15893,24881
1,ALS_DIRECT,RIDGE,199,0.9717065400975106,0.7466558380567742,0.5760618277870355,191,4462,15893,24881
1,BEFORE_2000,ALS,264,1.8881135105581746,1.0913087370788381,0.5349948040311018,228,5187,12242,20977
1,BEFORE_2000,ALS_FM,264,0.9908552729851546,0.7791809492513806,0.5747711976848984,228,5187,12242,20977
1,BEFORE_2000,FM,264,0.9484584396311597,0.7436732667229424,0.5774573564071792,228,5187,12242,20977
1,BEFORE_2000,GBT,264,0.8326166411711047,0.69703956144353,0.5858909990147527,228,5187,12242,20977
1,BEFORE_2000,RIDGE,264,0.877327558363624,0.7248996589774074,0.5785381284173476,228,5187,12242,20977
1,INPUT_ALL_UNSUPPORTED,ALS,109,1.0090850672564557,0.7685511725806051,0.5,104,9172,18946,31240
1,INPUT_ALL_UNSUPPORTED,ALS_FM,109,1.1421804387661638,0.8214176795258004,0.5639866542080009,104,9172,18946,31240
1,INPUT_ALL_UNSUPPORTED,FM,109,1.1421804387661638,0.8214176795258004,0.5639866542080009,104,9172,18946,31240
1,INPUT_ALL_UNSUPPORTED,GBT,109,0.9977798044174356,0.7583871581931562,0.5593809115288233,104,9172,18946,31240
1,INPUT_ALL_UNSUPPORTED,RIDGE,109,1.0561705154332819,0.787352606554983,0.5642636003198283,104,9172,18946,31240
1,ITEM_SUPPORTED,ALS,297,2.2084138961573747,1.206142107744472,0.5469911394446039,280,5326,23249,36694
1,ITEM_SUPPORTED,ALS_FM,297,1.0456145854666212,0.7924910755949887,0.5894921411894414,280,5326,23249,36694
1,ITEM_SUPPORTED,FM,297,1.0211623096174258,0.7660482463629961,0.5831318778964283,280,5326,23249,36694
1,ITEM_SUPPORTED,GBT,297,0.9326920737229594,0.7288206908861155,0.5808263438633985,280,5326,23249,36694
1,ITEM_SUPPORTED,RIDGE,297,0.9738925666789299,0.7533077900655978,0.5813254891834557,280,5326,23249,36694
1,NO_PRE_OBSERVATIONS,ALS,244,0.9710433249497211,0.7549073724548242,0.5,211,3083,9661,17007
1,NO_PRE_OBSERVATIONS,ALS_FM,244,1.0509592321003163,0.8003559482612308,0.5876139289922951,211,3083,9661,17007
1,NO_PRE_OBSERVATIONS,FM,244,1.0509592321003163,0.8003559482612308,0.5876139289922951,211,3083,9661,17007
1,NO_PRE_OBSERVATIONS,GBT,244,0.9666288836140022,0.7450464573764534,0.5473998607591462,211,3083,9661,17007
1,NO_PRE_OBSERVATIONS,RIDGE,244,1.0071000739219975,0.7693160973764392,0.5785258708434309,211,3083,9661,17007
1,OTHER_UNSUPPORTED,ALS,275,0.9992936615721377,0.7761377890208968,0.5,238,7539,17115,28798
1,OTHER_UNSUPPORTED,ALS_FM,275,1.077948675594444,0.8103573405779754,0.5623421530263703,238,7539,17115,28798
